,load,compressor,vp,fp
0,BANK-PIMA,bz2,7,0
1,BANK-PIMA,gzip,6,0
2,BANK-PIMA,heif,6,1
3,BANK-PIMA,jp2_lossy,6,1
4,BANK-PIMA,ppmd,7,0
5,BANK-PIMA,webp_lossy,6,1
6,BANK-PIMA,zlib,7,0
7,CANCER-PHON,bz2,5,0
8,CANCER-PHON,gzip,7,0
9,CANCER-PHON,heif,6,1
10,CANCER-PHON,jp2_lossy,5,0
11,CANCER-PHON,ppmd,5,0
12,CANCER-PHON,webp_lossy,2,1
13,CANCER-PHON,zlib,6,0
14,IONO-SOLAR,bz2,7,0
15,IONO-SOLAR,gzip,7,0
16,IONO-SOLAR,heif,6,1
17,IONO-SOLAR,jp2_lossy,7,1
18,IONO-SOLAR,ppmd,6,0
19,IONO-SOLAR,webp_lossy,4,0
20,IONO-SOLAR,zlib,6,0
21,IRIS-HABER,bz2,6,0
22,IRIS-HABER,gzip,7,0
23,IRIS-HABER,heif,6,1
24,IRIS-HABER,jp2_lossy,5,1
25,IRIS-HABER,ppmd,6,0
26,IRIS-HABER,webp_lossy,3,0
27,IRIS-HABER,zlib,7,0
28,OIL-MAMMO,bz2,6,0
29,OIL-MAMMO,gzip,6,0
30,OIL-MAMMO,heif,5,1
31,OIL-MAMMO,jp2_lossy,7,1
32,OIL-MAMMO,ppmd,6,0
33,OIL-MAMMO,webp_lossy,4,1
34,OIL-MAMMO,zlib,7,0
35,WINE-HEART,bz2,6,0
36,WINE-HEART,gzip,7,0
37,WINE-HEART,heif,7,1
38,WINE-HEART,jp2_lossy,4,1
39,WINE-HEART,ppmd,6,0
40,WINE-HEART,webp_lossy,6,0
41,WINE-HEART,zlib,7,0
